"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5436","TC03 Verify success notification","chromium","2026-05-30","passed","2026-05-30","Shopping Cart Module","shoppingCart/cart.spec.js","",""
"","2367","TC05 Abort image loading","chromium","2026-05-30","passed","2026-05-30","E2E + Network Mocking - CAPSTONE NETWORK SUITE (15 TC)","e2eNetwork/e2eNetwork.spec.js","",""
"","4849","TC14 Orders page","chromium","2026-05-30","passed","2026-05-30","User Profile Module - 15 Test Cases","userProfile/userProfile.spec.js","",""
"","6200","TC15 Cart item visibility","chromium","2026-05-30","passed","2026-05-30","Shopping Cart Module","shoppingCart/cart.spec.js","",""
"","2491","TC09 Validate request URL contains books","chromium","2026-05-30","passed","2026-05-30","E2E + Network Mocking - CAPSTONE NETWORK SUITE (15 TC)","e2eNetwork/e2eNetwork.spec.js","",""
"","4252","TC03 Email visible","chromium","2026-05-30","passed","2026-05-30","User Profile Module - 15 Test Cases","userProfile/userProfile.spec.js","",""
"","2727","TC09 Verify Registration with Valid Male User","chromium","2026-05-30","passed","2026-05-30","Authentication - Registration Tests","authentication/registration.spec.js","",""
"","1925","TC01 Open cart page","chromium","2026-05-30","passed","2026-05-30","Checkout Process","checkout/checkout.spec.js","",""
"","3936","TC17 Verify Add To Cart Button Is Visible","chromium","2026-05-30","passed","2026-05-30","Product Catalog - Product Details Tests","productCatalog/productDetails.spec.js","",""
"","2669","TC11 Verify Registration with Existing Email","chromium","2026-05-30","passed","2026-05-30","Authentication - Registration Tests","authentication/registration.spec.js","",""
"","2386","TC07 Invalid login check","chromium","2026-05-30","passed","2026-05-30","Checkout Process","checkout/checkout.spec.js","",""
"","1941","TC15 Page load check","chromium","2026-05-30","passed","2026-05-30","Customer Support","customerSupport/customerSupport.spec.js","",""
"","1356","TC12 Verify Password Mismatch Validation","chromium","2026-05-30","passed","2026-05-30","Authentication - Registration Tests","authentication/registration.spec.js","",""
"","6768","TC10 Remove checkbox visible","chromium","2026-05-30","passed","2026-05-30","Shopping Cart Module","shoppingCart/cart.spec.js","",""
"","1986","TC06 Logo visible","chromium","2026-05-30","passed","2026-05-30","Customer Support","customerSupport/customerSupport.spec.js","",""
"","2061","TC09 Shipping step visible","chromium","2026-05-30","passed","2026-05-30","Checkout Process","checkout/checkout.spec.js","",""
"","2643","TC10 Payment method step","chromium","2026-05-30","passed","2026-05-30","Checkout Process","checkout/checkout.spec.js","",""
"","2157","TC13 My account navigation","chromium","2026-05-30","passed","2026-05-30","Customer Support","customerSupport/customerSupport.spec.js","",""
"","3779","TC11 Verify Sort By Price High to Low","chromium","2026-05-30","passed","2026-05-30","Product Catalog - Sorting Tests","productCatalog/sorting.spec.js","",""
"","1788","TC14 Header visibility","chromium","2026-05-30","passed","2026-05-30","Customer Support","customerSupport/customerSupport.spec.js","",""
"","2611","TC20 Sitemap navigation validation","chromium","2026-05-30","passed","2026-05-30","Customer Support","customerSupport/customerSupport.spec.js","",""
"","4769","TC08 Change password open","chromium","2026-05-30","passed","2026-05-30","User Profile Module - 15 Test Cases","userProfile/userProfile.spec.js","",""
"","2262","TC14 Cart navigation check","chromium","2026-05-30","passed","2026-05-30","Checkout Process","checkout/checkout.spec.js","",""
"","2387","TC12 Cart link","chromium","2026-05-30","passed","2026-05-30","Customer Support","customerSupport/customerSupport.spec.js","",""
"","2172","TC02 Invalid email validation","chromium","2026-05-30","passed","2026-05-30","Customer Support","customerSupport/customerSupport.spec.js","",""
"","3782","TC02 Verify Search with Invalid Product","chromium","2026-05-30","passed","2026-05-30","Product Catalog - Search Tests","productCatalog/search.spec.js","",""
"","2951","TC04 Verify Login Using Enter Key","chromium","2026-05-30","passed","2026-05-30","Authentication - Login Tests","authentication/login.spec.js","",""
"","2508","TC12 Response status validation","chromium","2026-05-30","passed","2026-05-30","E2E + Network Mocking - CAPSTONE NETWORK SUITE (15 TC)","e2eNetwork/e2eNetwork.spec.js","",""
"","2084","TC11 Wishlist link","chromium","2026-05-30","passed","2026-05-30","Customer Support","customerSupport/customerSupport.spec.js","",""
"","4007","TC08 Verify Sort By Name A-Z","chromium","2026-05-30","passed","2026-05-30","Product Catalog - Sorting Tests","productCatalog/sorting.spec.js","",""
"","2530","TC05 Verify Computers Category Navigation","chromium","2026-05-30","passed","2026-05-30","Product Catalog - Category and Filter Tests","productCatalog/filter.spec.js","",""
"","4382","TC10 Verify Save Button Visible","chromium","2026-05-30","passed","2026-05-30","User Profile Module - 15 Test Cases","userProfile/userProfile.spec.js","",""
"","2171","TC04 Verify network request for homepage resources","chromium","2026-05-30","passed","2026-05-30","E2E + Network Mocking - CAPSTONE NETWORK SUITE (15 TC)","e2eNetwork/e2eNetwork.spec.js","",""
"","2469","TC04 Newsletter field","chromium","2026-05-30","passed","2026-05-30","Customer Support","customerSupport/customerSupport.spec.js","",""
"","3751","TC14 Verify Next Page Navigation","chromium","2026-05-30","passed","2026-05-30","Product Catalog - Pagination Tests","productCatalog/pagination.spec.js","",""
"","4517","TC07 Address navigation","chromium","2026-05-30","passed","2026-05-30","User Profile Module - 15 Test Cases","userProfile/userProfile.spec.js","",""
"","5120","TC09 Password mismatch","chromium","2026-05-30","passed","2026-05-30","User Profile Module - 15 Test Cases","userProfile/userProfile.spec.js","",""
"","3796","TC13 Verify List View","chromium","2026-05-30","passed","2026-05-30","Product Catalog - View Mode Tests","productCatalog/viewMode.spec.js","",""
"","1930","TC07 Search box visible","chromium","2026-05-30","passed","2026-05-30","Customer Support","customerSupport/customerSupport.spec.js","",""
"","2850","TC01 Verify Login with Valid Credentials","chromium","2026-05-30","passed","2026-05-30","Authentication - Login Tests","authentication/login.spec.js","",""
"","1488","TC16 Verify Soft Assertions for Login UI","chromium","2026-05-30","passed","2026-05-30","Authentication Validation Tests","authentication/authValidation.spec.js","",""
"","2679","TC16 Contact Us navigation stability","chromium","2026-05-30","passed","2026-05-30","Customer Support","customerSupport/customerSupport.spec.js","",""
"","2961","TC18 Search functionality validation","chromium","2026-05-30","passed","2026-05-30","Customer Support","customerSupport/customerSupport.spec.js","",""
"","2737","TC04 Verify Books Category Navigation","chromium","2026-05-30","passed","2026-05-30","Product Catalog - Category and Filter Tests","productCatalog/filter.spec.js","",""
"","4793","TC02 Update profile","chromium","2026-05-30","passed","2026-05-30","User Profile Module - 15 Test Cases","userProfile/userProfile.spec.js","",""
"","2245","TC10 Orders page link","chromium","2026-05-30","passed","2026-05-30","Customer Support","customerSupport/customerSupport.spec.js","",""
"","2674","TC10 Verify Registration with Valid Female User","chromium","2026-05-30","passed","2026-05-30","Authentication - Registration Tests","authentication/registration.spec.js","",""
"","6009","TC06 Cart total visible","chromium","2026-05-30","passed","2026-05-30","Shopping Cart Module","shoppingCart/cart.spec.js","",""
"","2675","TC06 Verify Electronics Category Navigation","chromium","2026-05-30","passed","2026-05-30","Product Catalog - Category and Filter Tests","productCatalog/filter.spec.js","",""
"","1713","TC14 Verify Empty Email Validation","chromium","2026-05-30","passed","2026-05-30","Authentication Validation Tests","authentication/authValidation.spec.js","",""
"","1436","TC10 Network failure handling","chromium","2026-05-30","passed","2026-05-30","E2E + Network Mocking - CAPSTONE NETWORK SUITE (15 TC)","e2eNetwork/e2eNetwork.spec.js","",""
"","4257","TC05 Checkout flow FIXED STABLE","chromium","2026-05-30","passed","2026-05-30","Checkout Process","checkout/checkout.spec.js","",""
"","2346","TC17 Contact form required field validation","chromium","2026-05-30","passed","2026-05-30","Customer Support","customerSupport/customerSupport.spec.js","",""
"","5055","TC11 Save profile","chromium","2026-05-30","passed","2026-05-30","User Profile Module - 15 Test Cases","userProfile/userProfile.spec.js","",""
"","4045","TC15 UI stability","chromium","2026-05-30","passed","2026-05-30","User Profile Module - 15 Test Cases","userProfile/userProfile.spec.js","",""
"","5986","TC11 Update cart button visible","chromium","2026-05-30","passed","2026-05-30","Shopping Cart Module","shoppingCart/cart.spec.js","",""
"","2628","TC17 Verify Session Persistence After Refresh","chromium","2026-05-30","passed","2026-05-30","Authentication Session Tests","authentication/sessionValidation.spec.js","",""
"","2198","TC11 Payment info step","chromium","2026-05-30","passed","2026-05-30","Checkout Process","checkout/checkout.spec.js","",""
"","0","TC06 Send Email to Friend","chromium","2026-05-30","skipped","2026-05-30","Compare + Email Module","compareEmail/compareEmail.spec.js","",""
"","4997","TC18 Verify Breadcrumb Is Visible","chromium","2026-05-30","passed","2026-05-30","Product Catalog - Product Details Tests","productCatalog/productDetails.spec.js","",""
"","4433","TC04 Terms checkbox + checkout button FIXED","chromium","2026-05-30","passed","2026-05-30","Checkout Process","checkout/checkout.spec.js","",""
"","1446","TC08 Modify response headers","chromium","2026-05-30","passed","2026-05-30","E2E + Network Mocking - CAPSTONE NETWORK SUITE (15 TC)","e2eNetwork/e2eNetwork.spec.js","",""
"","2603","TC18 Verify Remember Me Functionality","chromium","2026-05-30","passed","2026-05-30","Authentication Session Tests","authentication/sessionValidation.spec.js","",""
"","6343","TC04 Update quantity","chromium","2026-05-30","passed","2026-05-30","Shopping Cart Module","shoppingCart/cart.spec.js","",""
"","6386","TC07 Cart persists after refresh","chromium","2026-05-30","passed","2026-05-30","Shopping Cart Module","shoppingCart/cart.spec.js","",""
"","2049","TC06 Login page redirect","chromium","2026-05-30","passed","2026-05-30","Checkout Process","checkout/checkout.spec.js","",""
"","2553","TC14 Page load performance check","chromium","2026-05-30","passed","2026-05-30","E2E + Network Mocking - CAPSTONE NETWORK SUITE (15 TC)","e2eNetwork/e2eNetwork.spec.js","",""
"","3004","TC06 Verify Successful Logout","chromium","2026-05-30","passed","2026-05-30","Authentication - Logout Tests","authentication/logout.spec.js","",""
"","1701","TC15 Verify Empty Password Validation","chromium","2026-05-30","passed","2026-05-30","Authentication Validation Tests","authentication/authValidation.spec.js","",""
"","5977","TC01 Add product to cart","chromium","2026-05-30","passed","2026-05-30","Shopping Cart Module","shoppingCart/cart.spec.js","",""
"","1532","TC13 Simulate empty response safely","chromium","2026-05-30","passed","2026-05-30","E2E + Network Mocking - CAPSTONE NETWORK SUITE (15 TC)","e2eNetwork/e2eNetwork.spec.js","",""
"","6478","TC05 Remove product","chromium","2026-05-30","passed","2026-05-30","Shopping Cart Module","shoppingCart/cart.spec.js","",""
"","3028","TC02 Books API response interception","chromium","2026-05-30","passed","2026-05-30","E2E + Network Mocking - CAPSTONE NETWORK SUITE (15 TC)","e2eNetwork/e2eNetwork.spec.js","",""
"","4458","TC13 Invalid email","chromium","2026-05-30","passed","2026-05-30","User Profile Module - 15 Test Cases","userProfile/userProfile.spec.js","",""
"","8296","TC02 Compare success message","chromium","2026-05-30","passed","2026-05-30","Compare + Email Module","compareEmail/compareEmail.spec.js","",""
"","3744","TC06 Simulate slow API response","chromium","2026-05-30","passed","2026-05-30","E2E + Network Mocking - CAPSTONE NETWORK SUITE (15 TC)","e2eNetwork/e2eNetwork.spec.js","",""
"","1569","TC13 Verify Password Field is Masked","chromium","2026-05-30","passed","2026-05-30","Authentication Validation Tests","authentication/authValidation.spec.js","",""
"","2610","TC07 Block CSS files (network failure test)","chromium","2026-05-30","passed","2026-05-30","E2E + Network Mocking - CAPSTONE NETWORK SUITE (15 TC)","e2eNetwork/e2eNetwork.spec.js","",""
"","3931","TC16 Verify Product Price Is Visible","chromium","2026-05-30","passed","2026-05-30","Product Catalog - Product Details Tests","productCatalog/productDetails.spec.js","",""
"","9066","TC03 Clear compare list","chromium","2026-05-30","passed","2026-05-30","Compare + Email Module","compareEmail/compareEmail.spec.js","",""
"","4017","TC09 Verify Sort By Name Z-A","chromium","2026-05-30","passed","2026-05-30","Product Catalog - Sorting Tests","productCatalog/sorting.spec.js","",""
"","5163","TC12 Password fields visible","chromium","2026-05-30","passed","2026-05-30","User Profile Module - 15 Test Cases","userProfile/userProfile.spec.js","",""
"","3198","TC01 Verify Search with Valid Product","chromium","2026-05-30","passed","2026-05-30","Product Catalog - Search Tests","productCatalog/search.spec.js","",""
"","2578","TC19 Newsletter subscription validation","chromium","2026-05-30","passed","2026-05-30","Customer Support","customerSupport/customerSupport.spec.js","",""
"","2431","TC09 Sitemap page","chromium","2026-05-30","passed","2026-05-30","Customer Support","customerSupport/customerSupport.spec.js","",""
"","4478","TC04 Orders navigation","chromium","2026-05-30","passed","2026-05-30","User Profile Module - 15 Test Cases","userProfile/userProfile.spec.js","",""
"","6308","TC14 Multiple quantity update","chromium","2026-05-30","passed","2026-05-30","Shopping Cart Module","shoppingCart/cart.spec.js","",""
"","2655","TC03 Verify Search Box Visibility","chromium","2026-05-30","passed","2026-05-30","Product Catalog - Search Tests","productCatalog/search.spec.js","",""
"","2314","TC12 Confirm order step","chromium","2026-05-30","passed","2026-05-30","Checkout Process","checkout/checkout.spec.js","",""
"","3613","TC12 Verify Grid View","chromium","2026-05-30","passed","2026-05-30","Product Catalog - View Mode Tests","productCatalog/viewMode.spec.js","",""
"","6320","TC09 Quantity input visible","chromium","2026-05-30","passed","2026-05-30","Shopping Cart Module","shoppingCart/cart.spec.js","",""
"","4441","TC05 Email validation","chromium","2026-05-30","passed","2026-05-30","User Profile Module - 15 Test Cases","userProfile/userProfile.spec.js","",""
"","4266","TC06 Verify Email Field Contains User Email","chromium","2026-05-30","passed","2026-05-30","User Profile Module - 15 Test Cases","userProfile/userProfile.spec.js","",""
"","6217","TC08 Continue shopping visible","chromium","2026-05-30","passed","2026-05-30","Shopping Cart Module","shoppingCart/cart.spec.js","",""
"","2150","TC02 Verify Login with Invalid Password","chromium","2026-05-30","passed","2026-05-30","Authentication - Login Tests","authentication/login.spec.js","",""
"","2312","TC13 Order completion page","chromium","2026-05-30","passed","2026-05-30","Checkout Process","checkout/checkout.spec.js","",""
"","2986","TC07 Verify Redirect After Logout","chromium","2026-05-30","passed","2026-05-30","Authentication - Logout Tests","authentication/logout.spec.js","",""
"","2939","TC15 UI stability under network conditions","chromium","2026-05-30","passed","2026-05-30","E2E + Network Mocking - CAPSTONE NETWORK SUITE (15 TC)","e2eNetwork/e2eNetwork.spec.js","",""
